matrix,method,rank,error,error_svd,improvement
G2,Weighted Ensemble,100,0.8538243071775491,0.7645614850571333,-11.675035149559683
G2,Hybrid SVD-Ensemble,10,0.9610913616588268,0.9472009877036544,-1.4664653157560112
G2,Hybrid SVD-Ensemble,20,0.9450125075756288,0.9246614734857036,-2.2009172733462954
G2,Hybrid SVD-Ensemble,30,0.9298257528720352,0.902837094771877,-2.9893164842742173
G2,Hybrid SVD-Ensemble,40,0.915161739443908,0.8815786785184972,-3.809422998052477
G2,Hybrid SVD-Ensemble,50,0.9010016544310808,0.8609955722151028,-4.6464910514061595
G2,Hybrid SVD-Ensemble,60,0.8876827383040194,0.8409209579333367,-5.560781893889937
G2,Hybrid SVD-Ensemble,70,0.874457014133123,0.8213341581381034,-6.467873698988091
G2,Hybrid SVD-Ensemble,80,0.8614907285698776,0.8021447036250652,-7.398418848446539
G2,Hybrid SVD-Ensemble,90,0.8488604285014558,0.783175629061058,-8.386982051413774
G2,Hybrid SVD-Ensemble,100,0.836524679452896,0.7645614850571333,-9.412348882625853
G2,Matrix-Adaptive,60,8.67408072185362,0.8409209579333367,-931.4977454208307
G3,Weighted Ensemble,10,0.974349461497888,0.9471976333438284,-2.866543073825819
G3,Weighted Ensemble,20,0.9577683974014166,0.9248646156277852,-3.5576863053947387
G3,Weighted Ensemble,30,0.9430105412494696,0.9030768186748837,-4.421962976879652
G3,Weighted Ensemble,40,0.9295103544128712,0.8819091279636786,-5.397520553971755
G3,Weighted Ensemble,50,0.9172752711897038,0.8613675336056141,-6.490578690615886
G3,Weighted Ensemble,60,0.904323845154801,0.8412806563427176,-7.493716673119497
G3,Weighted Ensemble,70,0.8921053859640801,0.8215806677378252,-8.58402844609776
G3,Weighted Ensemble,80,0.8800544185429403,0.8022986988792263,-9.691617320623237
G3,Weighted Ensemble,90,0.8677591374683902,0.7834140447762405,-10.766349321225197
G3,Weighted Ensemble,100,0.8554182426748529,0.7647677791841682,-11.853331947037306
G3,Hybrid SVD-Ensemble,10,0.9608799917881956,0.9471976333438284,-1.444509357151289
G3,Hybrid SVD-Ensemble,20,0.94524291179931,0.9248646156277852,-2.2033815357604802
G3,Hybrid SVD-Ensemble,30,0.9302298987984762,0.9030768186748837,-3.0067298331757857
G3,Hybrid SVD-Ensemble,40,0.9157050731911786,0.8819091279636786,-3.832134644703648
G3,Hybrid SVD-Ensemble,50,0.9015609182767472,0.8613675336056141,-4.666229350772819
G3,Hybrid SVD-Ensemble,60,0.8879355822607429,0.8412806563427176,-5.5457029192668275
G3,Hybrid SVD-Ensemble,70,0.8747547355714187,0.8215806677378252,-6.472166388725428
G3,Hybrid SVD-Ensemble,80,0.8619092757555394,0.8022986988792263,-7.4299730212184425
G3,Hybrid SVD-Ensemble,90,0.8493508922739168,0.7834140447762405,-8.416602681218103
G3,Hybrid SVD-Ensemble,100,0.8370544452627907,0.7647677791841682,-9.452106645462475
G3,Matrix-Adaptive,10,4.043076730245248,0.9471976333438284,-326.84616049685906
G4,Weighted Ensemble,10,0.9731376569757524,0.9470342482994604,-2.756332067521796
G4,Weighted Ensemble,20,0.9562600683913076,0.9246977969586118,-3.4132525822496946
G4,Weighted Ensemble,30,0.9419783485396288,0.903016882784566,-4.314588851862901
G4,Weighted Ensemble,40,0.9290298960800348,0.8818156973907122,-5.354202565119809
G4,Weighted Ensemble,50,0.9164884059890523,0.86128397265508,-6.409550750583874
G4,Weighted Ensemble,60,0.9043477316164404,0.841199510570601,-7.506925557173089
G4,Weighted Ensemble,70,0.8918433431049958,0.8215261577326615,-8.559336146569388
G4,Weighted Ensemble,80,0.8793119360820558,0.8022272286370831,-9.6088370842178
G4,Weighted Ensemble,90,0.8675107641411162,0.7832732016331487,-10.754556945434814
G4,Weighted Ensemble,100,0.8551030113246794,0.7646207746805921,-11.833609501636253
G4,Hybrid SVD-Ensemble,10,0.960778900240236,0.9470342482994604,-1.4513363128584025
G4,Hybrid SVD-Ensemble,20,0.9449816042802278,0.9246977969586118,-2.1935606841857687
G4,Hybrid SVD-Ensemble,30,0.9298585775513252,0.903016882784566,-2.972446615171733
G4,Hybrid SVD-Ensemble,40,0.9153220148398544,0.8818156973907122,-3.7996961891569
G4,Hybrid SVD-Ensemble,50,0.901149202471978,0.86128397265508,-4.628581406664918
G4,Hybrid SVD-Ensemble,60,0.8875799863812958,0.841199510570601,-5.51361183974465
G4,Hybrid SVD-Ensemble,70,0.8743083098615593,0.8215261577326615,-6.424890021100706
G4,Hybrid SVD-Ensemble,80,0.8614085514556934,0.8022272286370831,-7.377127166221276
G4,Hybrid SVD-Ensemble,90,0.8489055643331063,0.7832732016331487,-8.379242716731792
G4,Hybrid SVD-Ensemble,100,0.8365461926205198,0.7646207746805921,-9.406678489735432
G4,Matrix-Adaptive,30,6.2960839088787415,0.903016882784566,-597.227707356254
G5,Weighted Ensemble,10,0.9745198368858552,0.9469708348156972,-2.9091711230493877
G5,Weighted Ensemble,20,0.9569977886128856,0.9244444624568274,-3.5213933857685356
G5,Weighted Ensemble,30,0.9428354396117284,0.9028178646161662,-4.432519178447555
G5,Weighted Ensemble,40,0.9298120021958158,0.8817628137957819,-5.449219183239702
G5,Weighted Ensemble,50,0.91700691753394,0.861311052734044,-6.46640544355047
G5,Weighted Ensemble,60,0.9048753120699984,0.8413014985280888,-7.556602912646191
G5,Weighted Ensemble,70,0.892787257219657,0.8216557875685032,-8.657088616347563
G5,Weighted Ensemble,80,0.8803585793993409,0.8023625096414667,-9.720801859589193
G5,Weighted Ensemble,90,0.8680646011099395,0.7834255448672951,-10.803714124101162
G5,Weighted Ensemble,100,0.8554669791422579,0.7648573662873124,-11.84660262798708
G5,Hybrid SVD-Ensemble,10,0.96103183335939,0.9469708348156972,-1.4848396620820328
G5,Hybrid SVD-Ensemble,20,0.9452319732224698,0.9244444624568274,-2.2486489572772075
G5,Hybrid SVD-Ensemble,30,0.9301928463756262,0.9028178646161662,-3.0321710316508255
G5,Hybrid SVD-Ensemble,40,0.9156142228633518,0.8817628137957819,-3.8390606337601745
G5,Hybrid SVD-Ensemble,50,0.9013979383630536,0.861311052734044,-4.654170581204383
G5,Hybrid SVD-Ensemble,60,0.8877932845852183,0.8413014985280888,-5.526174164490369
G5,Hybrid SVD-Ensemble,70,0.8746793008900372,0.8216557875685032,-6.453251364351073
G5,Hybrid SVD-Ensemble,80,0.8617821378805199,0.8023625096414667,-7.405583825894945
G5,Hybrid SVD-Ensemble,90,0.8492243153965626,0.7834255448672951,-8.398854359594978
G5,Hybrid SVD-Ensemble,100,0.8367570135978536,0.7648573662873124,-9.400399405126826
G5,Matrix-Adaptive,10,9.31208525158427,0.9469708348156972,-883.355021001953
G5,Matrix-Adaptive,60,6.946844265657012,0.8413014985280888,-725.7258875457806
