matrix,method,rank,error,time
G14,Hybrid SVD-Ensemble,10,0.933740271495105,0.6946694850921631
G14,Matrix-Adaptive,10,1.1412948592537095,0.030338525772094727
G14,Deterministic SVD,20,0.8561916771389737,0.5171573162078857
G14,Weighted Ensemble,20,0.9533064004972424,4.4770238399505615
G14,Hybrid SVD-Ensemble,20,0.9002320347102409,0.8247799873352051
G14,Matrix-Adaptive,20,2.5177203527525496,0.01663994789123535
G14,Deterministic SVD,30,0.8146695617871875,0.3297843933105469
G14,Weighted Ensemble,30,0.9370305024823917,12.800633907318115
G14,Hybrid SVD-Ensemble,30,0.8722997572714448,1.2645623683929443
G14,Matrix-Adaptive,30,4.701784870032371,0.041610002517700195
G14,Deterministic SVD,40,0.7785229933205559,0.8131227493286133
G14,Weighted Ensemble,40,0.9163096035454694,23.503271341323853
